iter	RMSE
0	14.03048572
1	13.15568452
2	12.31547137
3	11.58890926
4	10.9768478
5	10.42229862
6	9.91412349
7	9.434636849
8	9.001679344
9	8.604249479
10	8.25733948
11	7.95934794
12	7.702829932
13	7.412575291
14	7.163276535
15	6.950288966
16	6.762731769
17	6.631252935
18	6.483269266
19	6.355849317
20	6.255103387
21	6.14704551
22	6.043068578
23	5.955392533
24	5.883763267
25	5.809423565
26	5.74036102
27	5.686853651
28	5.640302345
29	5.617744964
30	5.573987949
31	5.52717496
32	5.488294152
33	5.457440988
34	5.426088073
35	5.397208443
36	5.361316095
37	5.338541511
38	5.314232298
39	5.297822713
40	5.265571162
41	5.236506875
42	5.210836587
43	5.190877102
44	5.172403415
45	5.154797772
46	5.137431382
47	5.118537268
48	5.106408568
49	5.093852028
50	5.081069396
51	5.058620715
52	5.044720861
53	5.026797549
54	5.018532071
55	5.008121225
56	4.99872904
57	4.992954156
58	4.98627856
59	4.972577889
60	4.963876259
61	4.942997971
62	4.935186941
63	4.92628732
64	4.917458562
65	4.912700741
66	4.894586778
67	4.887345455
68	4.869844654
69	4.866490281
70	4.857853489
71	4.850375666
72	4.842714004
73	4.834321196
74	4.828533548
75	4.818515165
76	4.812276412
77	4.799527113
78	4.790070614
79	4.777022727
80	4.771346168
81	4.762462962
82	4.752153039
83	4.745623716
84	4.739862981
85	4.734448922
86	4.72176965
87	4.712966494
88	4.698085132
89	4.689341439
90	4.681380561
91	4.679240738
92	4.667451543
93	4.659664292
94	4.65344069
95	4.641446707
96	4.629320301
97	4.618879787
98	4.604976615
99	4.597319328
