iter	Passed	Remaining
0	50	50182
1	51	25626
2	52	17354
3	53	13230
4	53	10733
5	54	9067
6	55	7880
7	56	6986
8	57	6296
9	58	5746
10	58	5294
11	59	4912
12	60	4588
13	61	4318
14	62	4086
15	63	3883
16	64	3703
17	64	3525
18	65	3384
19	66	3256
20	67	3139
21	68	3034
22	69	2939
23	70	2853
24	71	2772
25	72	2711
26	73	2639
27	74	2572
28	74	2506
29	75	2444
30	76	2391
31	77	2342
32	78	2297
33	79	2253
34	80	2214
35	81	2174
36	81	2133
37	82	2094
38	83	2058
39	84	2019
40	84	1975
41	84	1934
42	84	1891
43	85	1854
44	85	1818
45	86	1784
46	86	1751
47	86	1719
48	86	1686
49	87	1658
50	87	1630
51	88	1604
52	88	1578
53	88	1554
54	89	1530
55	89	1507
56	89	1484
57	90	1463
58	90	1442
59	90	1422
60	91	1402
61	91	1384
62	91	1365
63	92	1347
64	92	1330
65	92	1313
66	93	1297
67	93	1281
68	93	1266
69	94	1251
70	94	1237
71	94	1223
72	95	1209
73	95	1195
74	95	1183
75	96	1170
76	96	1157
77	96	1145
78	97	1134
79	97	1122
80	97	1111
81	98	1100
82	98	1089
83	98	1079
84	99	1068
85	99	1058
86	99	1048
87	100	1039
88	100	1030
89	100	1021
90	101	1012
91	101	1003
92	102	995
93	102	985
94	102	977
95	102	969
96	103	961
97	103	954
98	104	946
99	104	938
100	104	931
101	104	924
102	105	917
103	105	910
104	105	903
105	106	896
106	106	890
107	106	883
108	107	877
109	107	870
110	107	864
111	108	858
112	108	853
113	108	846
114	109	840
115	109	835
116	109	829
117	110	824
118	110	817
119	110	812
120	111	807
121	111	802
122	111	797
123	112	792
124	112	787
125	112	782
126	113	777
127	113	773
128	113	768
129	114	764
130	114	759
131	114	755
132	115	750
133	115	746
134	115	742
135	116	738
136	116	734
137	117	730
138	117	727
139	117	723
140	118	719
141	118	715
142	118	712
143	119	708
144	119	705
145	119	701
146	120	698
147	120	694
148	120	691
149	121	687
150	121	683
151	121	680
152	122	676
153	122	673
154	122	670
155	123	667
156	123	664
157	124	660
158	124	657
159	124	654
160	125	651
161	125	648
162	125	645
163	126	642
164	126	639
165	126	636
166	127	633
167	127	630
168	127	628
169	128	625
170	128	622
171	128	619
172	128	616
173	129	613
174	129	611
175	130	608
176	130	606
177	130	603
178	131	601
179	131	599
180	131	596
181	132	594
182	132	591
183	132	589
184	133	586
185	133	584
186	133	582
187	134	579
188	134	577
189	134	575
190	135	572
191	135	570
192	135	568
193	136	565
194	136	563
195	136	561
196	137	559
197	137	557
198	137	554
199	138	552
200	138	550
201	138	548
202	139	546
203	139	544
