iter	Passed	Remaining
0	47	47411
1	48	24162
2	49	16361
3	50	12465
4	51	10195
5	52	8634
6	53	7525
7	54	6802
8	55	6143
9	56	5614
10	57	5179
11	58	4812
12	59	4497
13	60	4234
14	61	4010
15	61	3806
16	66	3849
17	67	3678
18	68	3528
19	69	3394
20	70	3271
21	71	3160
22	72	3060
23	72	2966
24	73	2878
25	74	2794
26	75	2715
27	76	2649
28	77	2582
29	77	2518
30	78	2457
31	79	2398
32	80	2346
33	80	2300
34	81	2259
35	82	2216
36	83	2175
37	84	2134
38	85	2094
39	85	2054
40	86	2016
41	86	1979
42	87	1944
43	87	1910
44	88	1877
45	89	1847
46	89	1817
47	90	1788
48	90	1761
49	91	1736
50	92	1713
51	92	1691
52	93	1670
53	94	1648
54	94	1626
55	95	1605
56	95	1581
57	95	1558
58	96	1535
59	96	1514
60	96	1493
61	97	1473
62	97	1453
63	98	1434
64	98	1415
65	98	1397
66	99	1379
67	99	1362
68	99	1345
69	100	1329
70	100	1313
71	100	1297
72	101	1282
73	101	1268
74	101	1253
75	101	1239
76	102	1225
77	102	1212
78	102	1199
79	103	1187
80	103	1174
81	103	1162
82	104	1149
83	104	1138
84	104	1126
85	105	1115
86	105	1105
87	105	1094
88	105	1084
89	106	1075
90	106	1065
91	107	1056
92	107	1046
93	107	1037
94	108	1028
95	108	1020
96	108	1011
97	108	1002
98	109	994
99	109	986
100	109	978
101	110	971
102	110	963
103	110	956
104	111	949
105	111	941
106	112	934
107	112	927
108	112	921
109	113	914
110	113	907
111	113	901
112	114	895
113	114	889
114	114	882
115	115	876
116	115	870
117	115	864
118	115	858
119	116	852
120	116	846
121	116	840
122	117	834
123	117	829
124	117	824
125	118	819
126	118	813
127	118	808
128	119	803
129	119	798
130	119	793
131	119	788
132	120	783
133	120	779
134	120	774
135	121	770
136	121	765
137	121	761
138	122	757
139	122	753
140	122	749
141	123	744
142	123	740
143	123	736
144	124	732
145	124	728
146	124	724
147	125	720
148	125	717
149	125	713
150	126	710
151	126	706
152	126	702
153	127	698
154	127	695
155	127	692
156	128	689
157	128	685
158	129	682
159	129	679
160	129	675
161	129	671
162	130	668
163	130	665
164	130	662
165	131	659
166	131	656
167	132	653
168	132	650
169	132	647
170	133	644
171	133	641
172	133	639
173	134	636
174	134	633
175	134	630
176	135	627
177	135	625
178	135	622
179	135	619
180	136	616
181	136	614
182	137	611
183	137	609
184	137	606
185	137	603
186	138	601
187	138	598
188	138	596
189	139	593
190	139	591
191	139	588
192	140	586
193	140	584
194	140	581
195	141	579
196	141	577
197	142	575
198	142	573
199	142	571
200	143	569
201	143	567
202	144	565
203	144	563
204	144	561
205	145	559
206	145	557
207	146	555
208	146	554
209	146	552
210	147	550
211	147	548
212	147	546
213	148	544
214	148	542
215	148	540
216	149	538
217	149	536
218	149	534
219	150	532
220	150	530
221	150	528
222	151	527
223	151	525
224	151	523
225	152	521
226	152	519
227	152	518
228	153	516
229	153	514
230	154	512
231	154	511
232	154	509
233	155	507
234	155	506
235	155	504
236	156	502
237	156	501
238	156	499
239	157	497
240	157	496
241	157	494
242	158	492
243	158	491
244	158	489
245	159	488
246	159	486
247	159	484
248	160	483
249	160	481
250	160	479
251	161	478
252	161	476
253	161	475
254	162	473
255	162	472
256	162	470
257	163	469
258	163	467
259	163	466
260	164	465
261	164	463
262	164	462
263	165	460
264	165	459
265	165	457
266	166	456
267	166	455
268	167	454
269	167	453
270	167	451
271	168	450
272	168	449
273	168	447
274	169	446
275	169	444
276	169	443
277	170	442
278	170	440
279	170	439
280	171	438
281	171	437
282	171	435
283	172	434
284	172	433
285	173	432
286	173	430
287	173	429
288	174	428
289	174	427
290	174	425
291	175	424
292	175	423
293	175	422
294	176	420
295	176	419
296	176	418
297	177	417
298	178	417
299	178	416
300	178	414
301	179	413
302	179	412
303	179	411
304	180	410
305	180	409
306	181	408
307	181	407
308	181	406
309	182	405
310	182	404
311	183	403
312	183	402
313	183	401
314	184	400
315	184	399
316	184	398
317	185	397
318	185	396
319	185	395
320	186	393
321	186	392
322	187	391
323	187	390
324	187	390
325	188	389
326	188	387
327	188	386
328	189	385
329	189	384
330	189	383
331	190	382
332	190	381
333	190	380
334	191	379
335	191	378
336	191	377
337	192	376
338	192	375
339	192	374
340	193	373
341	193	372
342	194	371
343	194	370
344	194	369
345	195	368
346	195	367
347	195	366
348	196	365
349	196	364
350	196	363
351	197	362
352	197	361
353	197	360
354	198	359
355	198	358
356	198	358
357	199	357
358	199	356
359	199	355
360	200	354
361	200	353
362	200	352
363	201	351
364	201	350
365	201	349
366	202	349
367	202	348
368	203	347
369	203	346
370	203	345
371	204	344
372	204	343
373	204	342
374	205	341
375	205	340
376	205	339
377	206	339
378	206	338
379	206	337
380	207	336
381	207	335
382	207	334
383	208	333
384	208	332
385	208	331
386	209	331
387	209	330
388	209	329
389	210	328
390	210	327
391	210	326
392	210	325
393	211	325
394	211	324
395	212	323
396	212	322
397	217	328
398	217	327
399	217	326
400	218	325
401	218	325
402	218	324
403	219	323
404	219	322
405	219	321
406	220	320
407	220	319
408	220	319
409	221	318
410	221	317
411	221	316
412	222	315
413	222	314
414	222	314
415	223	313
416	223	312
417	223	311
418	224	310
419	224	309
420	224	309
421	225	308
422	225	307
423	225	306
424	226	305
425	226	305
426	226	304
427	227	303
428	227	302
429	227	301
430	228	301
431	228	300
432	228	299
433	229	298
434	229	297
435	229	297
436	230	296
437	230	295
438	230	294
439	231	294
440	231	293
441	231	292
442	232	291
443	232	291
444	232	290
445	233	289
446	233	288
447	233	288
448	234	287
449	234	286
450	234	285
451	235	285
452	235	284
453	235	283
454	236	282
455	236	282
456	237	282
457	237	281
458	238	280
459	238	280
460	238	279
461	239	278
462	239	277
463	239	277
464	240	276
465	240	275
466	240	274
467	241	274
468	241	273
469	241	272
470	242	272
471	242	271
472	242	270
473	243	269
474	243	269
475	243	268
476	244	267
477	244	267
478	244	266
479	245	265
480	245	264
481	245	264
482	246	263
483	246	262
484	246	262
485	247	261
486	247	260
487	247	260
488	248	259
489	248	258
490	248	258
491	249	257
492	249	256
493	249	255
494	250	255
495	250	254
496	250	253
497	251	253
498	251	252
499	251	251
500	252	251
501	252	250
502	252	249
503	253	249
504	253	248
505	253	247
506	254	247
507	254	246
508	254	245
509	255	245
510	255	244
511	255	243
512	256	243
513	256	242
514	256	241
515	257	241
516	257	240
517	257	240
518	258	239
519	258	238
520	258	238
521	259	237
522	259	236
523	259	236
524	260	235
525	260	234
526	260	234
527	261	233
528	261	232
529	261	232
530	262	231
531	262	230
532	262	230
533	263	229
534	263	229
535	263	228
536	264	227
537	264	227
538	264	226
539	265	225
540	265	225
541	265	224
542	266	223
543	266	223
544	266	222
545	267	222
546	267	221
547	267	220
548	268	220
549	268	219
550	268	219
551	269	218
552	269	217
553	269	217
554	270	216
555	270	215
556	270	215
557	271	214
558	271	214
559	271	213
560	272	212
561	272	212
562	272	211
563	273	211
564	273	210
565	273	209
566	274	209
567	274	208
568	274	208
569	275	207
570	275	206
571	275	206
572	276	205
573	276	205
574	276	204
575	277	203
576	277	203
577	277	202
578	278	202
579	278	201
580	278	200
581	279	200
582	279	199
583	279	199
584	279	198
585	280	198
586	280	197
587	280	196
588	281	196
589	281	195
590	281	195
591	282	194
592	282	193
593	282	193
594	283	192
595	283	192
596	283	191
597	284	191
598	284	190
599	284	189
600	285	189
601	285	188
602	285	188
603	286	187
604	286	187
605	287	186
606	287	186
607	288	186
608	289	185
609	289	184
610	289	184
611	290	183
612	290	183
613	290	182
614	290	182
615	291	181
616	291	181
617	291	180
618	292	179
619	292	179
620	293	178
621	293	178
622	293	177
623	293	177
624	294	176
625	294	176
626	294	175
627	295	174
628	295	174
629	296	173
630	296	173
631	296	172
632	297	172
633	297	171
634	297	171
635	298	170
636	299	170
637	299	170
638	300	169
639	300	168
640	300	168
641	301	167
642	301	167
643	301	166
644	302	166
645	302	165
646	302	165
647	303	164
648	303	164
649	303	163
650	304	163
651	304	162
652	304	161
653	305	161
654	305	160
655	305	160
656	306	159
657	306	159
658	306	158
659	307	158
660	307	157
661	307	157
662	308	156
663	308	156
664	308	155
665	309	155
666	309	154
667	309	154
668	310	153
669	310	152
670	310	152
671	311	151
672	311	151
673	311	150
674	312	150
675	312	149
676	312	149
677	313	148
678	313	148
679	313	147
680	314	147
681	314	146
682	314	146
683	315	145
684	315	145
685	315	144
686	316	144
687	316	143
688	316	142
689	317	142
690	317	141
691	317	141
692	318	141
693	318	140
694	319	140
695	319	139
696	319	138
697	320	138
698	320	137
699	320	137
700	321	136
701	321	136
702	321	135
703	322	135
704	322	134
705	322	134
706	323	133
707	323	133
708	324	133
709	324	132
710	324	131
711	325	131
712	325	131
713	325	130
714	326	130
715	326	129
716	326	128
717	327	128
718	327	127
719	327	127
720	328	126
721	328	126
722	328	126
723	329	125
724	329	125
725	330	124
726	330	124
727	330	123
728	331	123
729	331	122
730	331	122
731	332	121
732	333	121
733	333	120
734	333	120
735	334	119
736	334	119
737	334	118
738	335	118
739	336	118
740	336	117
741	336	117
742	337	116
743	337	116
744	337	115
745	338	115
746	338	114
747	338	114
748	339	113
749	339	113
750	339	112
751	340	112
752	340	111
753	340	111
754	341	110
755	341	110
756	341	109
757	342	109
758	342	108
759	342	108
760	343	107
761	343	107
762	343	106
763	344	106
764	344	105
765	344	105
766	345	104
767	345	104
768	345	103
769	346	103
770	346	102
771	346	102
772	348	102
773	348	101
774	348	101
775	349	100
776	349	100
777	349	99
778	350	99
779	350	98
780	350	98
781	351	97
782	351	97
783	352	96
784	352	96
785	352	96
786	353	95
787	353	95
788	353	94
789	354	94
790	354	93
791	354	93
792	355	92
793	355	92
794	355	91
795	356	91
796	356	90
797	356	90
798	357	89
799	357	89
800	358	88
801	358	88
802	359	88
803	360	87
804	360	87
805	361	86
806	361	86
807	361	85
808	362	85
809	362	85
810	362	84
811	363	84
812	363	83
813	363	83
814	364	82
815	364	82
816	365	81
817	365	81
818	365	80
819	366	80
820	366	79
821	366	79
822	367	78
823	367	78
824	367	78
825	368	77
826	368	77
827	369	76
828	369	76
829	369	75
830	369	75
831	370	74
832	370	74
833	370	73
834	371	73
835	371	72
836	372	72
837	372	72
838	372	71
839	373	71
840	373	70
841	374	70
842	374	69
843	374	69
844	375	68
845	375	68
846	375	67
847	376	67
848	376	66
849	377	66
850	377	66
851	377	65
852	378	65
853	378	64
854	378	64
855	379	63
856	379	63
857	379	62
858	380	62
859	380	61
860	380	61
861	381	61
862	381	60
863	381	60
864	382	59
865	382	59
866	382	58
867	383	58
868	383	57
869	383	57
870	384	56
871	384	56
872	384	56
873	385	55
874	385	55
875	386	54
876	386	54
877	386	53
878	387	53
879	387	52
880	387	52
881	388	51
882	388	51
883	388	51
884	389	50
885	389	50
886	389	49
887	390	49
888	390	48
889	390	48
890	391	47
891	391	47
892	391	46
893	392	46
894	392	46
895	392	45
896	393	45
897	393	44
898	393	44
899	394	43
900	394	43
901	394	42
902	395	42
903	395	42
904	395	41
905	396	41
906	396	40
907	397	40
908	397	39
909	397	39
910	398	38
911	398	38
912	398	37
913	399	37
914	399	37
915	399	36
916	400	36
917	400	35
918	400	35
919	401	34
920	401	34
921	401	34
922	404	33
923	405	33
924	405	32
925	406	32
926	406	32
927	406	31
928	407	31
929	407	30
930	407	30
931	408	29
932	408	29
933	409	28
934	409	28
935	409	28
936	410	27
937	410	27
938	410	26
939	411	26
940	411	25
941	411	25
942	412	24
943	412	24
944	412	24
945	413	23
946	413	23
947	413	22
948	414	22
949	414	21
950	414	21
951	415	20
952	415	20
953	415	20
954	416	19
955	416	19
956	416	18
957	417	18
958	417	17
959	417	17
960	418	16
961	418	16
962	418	16
963	419	15
964	419	15
965	420	14
966	420	14
967	420	13
968	420	13
969	421	13
970	421	12
971	421	12
972	422	11
973	422	11
974	422	10
975	423	10
976	423	9
977	423	9
978	424	9
979	424	8
980	424	8
981	425	7
982	425	7
983	426	6
984	426	6
985	426	6
986	427	5
987	427	5
988	427	4
989	428	4
990	428	3
991	428	3
992	429	3
993	429	2
994	429	2
995	430	1
996	430	1
997	430	0
998	431	0
999	431	0
